year,name,sex,count,rank,source
2016,Salomé,F,2428,1,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Luciana,F,2342,2,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Isabella,F,1826,3,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Mariana,F,1343,4,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Mariangel,F,992,5,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Gabriela,F,971,6,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Santiago,M,2500,1,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Samuel,M,1796,2,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Jerónimo,M,1240,3,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Matías,M,1149,4,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Emmanuel,M,841,5,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2016,Sebastián,M,711,6,Registraduría Nacional (El Tiempo / registraduria.gov.co)
2017,Luciana,F,,1,Registraduría Nacional (aldia.co 2017)
2017,María José,F,,2,Registraduría Nacional (aldia.co 2017)
2017,Isabella,F,,3,Registraduría Nacional (aldia.co 2017)
2017,Santiago,M,,1,Registraduría Nacional (aldia.co 2017)
2017,Juan José,M,,2,Registraduría Nacional (aldia.co 2017)
2017,Matías,M,,3,Registraduría Nacional (aldia.co 2017)
2018,Luciana,F,,1,Registraduría Nacional (registraduria.gov.co 2018)
2018,Salomé,F,,2,Registraduría Nacional (registraduria.gov.co 2018)
2018,Isabella,F,,3,Registraduría Nacional (registraduria.gov.co 2018)
2018,Santiago,M,,1,Registraduría Nacional (registraduria.gov.co 2018)
2018,Samuel,M,,2,Registraduría Nacional (registraduria.gov.co 2018)
2018,Jerónimo,M,,3,Registraduría Nacional (registraduria.gov.co 2018)
2019,Luciana,F,,1,Registraduría Nacional (registraduria.gov.co 2019)
2019,Santiago,M,,1,Registraduría Nacional (registraduria.gov.co 2019)
2019,Isabella,F,,2,Registraduría Nacional (registraduria.gov.co 2019)
2019,Salomé,F,,3,Registraduría Nacional (registraduria.gov.co 2019)
2019,Antonella,F,,4,Registraduría Nacional (registraduria.gov.co 2019)
2019,Samuel,M,,2,Registraduría Nacional (registraduria.gov.co 2019)
2019,Jerónimo,M,,3,Registraduría Nacional (registraduria.gov.co 2019)
2019,Emmanuel,M,,4,Registraduría Nacional (registraduria.gov.co 2019)
2019,Emiliano,M,,5,Registraduría Nacional (registraduria.gov.co 2019)
2020,Luciana,F,,1,Registraduría Nacional (Portafolio 2021)
2020,Salomé,F,,2,Registraduría Nacional (Portafolio 2021)
2020,Isabella,F,,3,Registraduría Nacional (Portafolio 2021)
2020,Antonella,F,,4,Registraduría Nacional (Portafolio 2021)
2020,Santiago,M,,1,Registraduría Nacional (Portafolio 2021)
2020,Samuel,M,,2,Registraduría Nacional (Portafolio 2021)
2020,Jerónimo,M,,3,Registraduría Nacional (Portafolio 2021)
2020,Emiliano,M,,4,Registraduría Nacional (Portafolio 2021)
2020,Maximiliano,M,,5,Registraduría Nacional (Portafolio 2021)
2021,Luciana,F,,1,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Isabella,F,,2,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Salomé,F,,3,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Antonella,F,,4,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Santiago,M,,1,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Emiliano,M,,2,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Samuel,M,,3,Registraduría Nacional (datos.gov.co / medios 2022)
2021,Maximiliano,M,,4,Registraduría Nacional (datos.gov.co / medios 2022)
2022,Antonella,F,,1,Registraduría Nacional (medios 2023)
2022,Luciana,F,,2,Registraduría Nacional (medios 2023)
2022,Isabella,F,,3,Registraduría Nacional (medios 2023)
2022,Salomé,F,,4,Registraduría Nacional (medios 2023)
2022,Emiliano,M,,1,Registraduría Nacional (medios 2023)
2022,Santiago,M,,2,Registraduría Nacional (medios 2023)
2022,Maximiliano,M,,3,Registraduría Nacional (medios 2023)
2022,Samuel,M,,4,Registraduría Nacional (medios 2023)
2023,Antonella,F,,1,Registraduría Nacional (El País / medios 2024)
2023,Luciana,F,,2,Registraduría Nacional (El País / medios 2024)
2023,Isabella,F,,3,Registraduría Nacional (El País / medios 2024)
2023,Salomé,F,,4,Registraduría Nacional (El País / medios 2024)
2023,Emiliano,M,,1,Registraduría Nacional (El País / medios 2024)
2023,Maximiliano,M,,2,Registraduría Nacional (El País / medios 2024)
2023,Santiago,M,,3,Registraduría Nacional (El País / medios 2024)
2023,Samuel,M,,4,Registraduría Nacional (El País / medios 2024)
2024,Antonella,F,,1,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Luciana,F,,2,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Isabella,F,,3,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Celeste,F,,4,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Salomé,F,,5,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Gabriela,F,,6,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Victoria,F,,7,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Emiliano,M,3218,1,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Maximiliano,M,3125,2,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Thiago,M,2658,3,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Emmanuel,M,2426,4,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Jerónimo,M,1990,5,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Samuel,M,1892,6,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Santiago,M,1866,7,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Isaac,M,1823,8,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
2024,Mathias,M,1482,9,Registraduría Nacional (Noticias Caracol / Infobae ene 2025)
